电台名称,状态,HTTP状态码,原因,内容类型,URL
中国教育2,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,https://wstvalic.v.myalicdn.com/wstv/cetv2_1/index.m3u8?adapt=0&BR=audio
中国教育3,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,https://wstvalic.v.myalicdn.com/wstv/cetv3_1/index.m3u8?adapt=0&BR=audio
中国教育4,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,https://wstvalic.v.myalicdn.com/wstv/cetv4_1/index.m3u8?adapt=0&BR=audio
V0A-1,not_found,404,HTTP 404,,https://stream.radiojar.com/t2n88q0st5quv
山西卫视,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wxssxws/playlist.m3u8
香港卫视,reachable,200,m3u8 列表,application/vnd.apple.mpegurl,https://piccpndks.v.kcdnvip.com/audio/xianggangweishi_2.m3u8
北京新闻,reachable,200,m3u8 列表,application/vnd.apple.mpegurl,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv9_1/index.m3u8?adapt=0&BR=audio
北京文艺,reachable,200,m3u8 列表,application/vnd.apple.mpegurl,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv2_1/index.m3u8?adapt=0&BR=audio
北京科教,reachable,200,m3u8 列表,application/vnd.apple.mpegurl,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv3_1/index.m3u8?adapt=0&BR=audio
北京影视,not_found,404,HTTP 404,,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv4_1/index.m3u8?adapt=0&BR=audio
北京财经,reachable,200,m3u8 列表,application/vnd.apple.mpegurl,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv5_1/index.m3u8?adapt=0&BR=audio
北京冬奥纪实,not_found,404,HTTP 404,,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv6_1/index.m3u8?adapt=0&BR=audio
北京生活,reachable,200,m3u8 列表,application/vnd.apple.mpegurl,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv7_1/index.m3u8?adapt=0&BR=audio
北京青年,not_found,404,HTTP 404,,https://piccpndks.v.kcdnvip.com/audio/btv8_2.m3u8
第一财经,reachable,200,m3u8 列表,application/x-mpegURL,http://a1live.livecdn.yicai.com/live/radio_tv.m3u8
河北汽车音乐台,reachable,200,m3u8 列表,application/vnd.apple.mpegurl,https://radio.pull.hebtv.com/live/hebqcyy.m3u8
合肥文艺广播,unreachable,400,HTTP 400,,https://hylive.hfbtv.com/lsdream/3kJdo0U/1000/live.m3u8
北京音乐广播,unreachable,,连接失败: timed out,,http://123.56.16.201:1935/live/fm974/96K/tzwj_video.m3u8
山西音乐广播,unreachable,,连接失败: [WinError 10061] 由于目标计算机积极拒绝，无法连接。,,http://live.cooltv.top/tv/cutv.php?id=sxyygb
宜昌音乐生活广播,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,http://play.3xgd.com/fm/qct.m3u8
金陵之声,unreachable,,连接失败: [WinError 10051] 向一个无法连接的网络尝试了一个套接字操作。,,http://[2409:8087:2004:10::2786:474b]/ott.js.chinamobile.com/PLTV/3/224/3221227940/index.m3u8?icpid=4&RTS=1639880648&from=1&hms_devid=221&vqe=3
金陵之声,unreachable,,连接失败: [WinError 10051] 向一个无法连接的网络尝试了一个套接字操作。,,http://[2409:8087:2004:10::2786:474b]/ott.js.chinamobile.com/PLTV/4/224/3221227940/index.m3u8?icpid=4&RTS=1639880648&from=1&hms_devid=221&vqe=3
四川岷江音乐,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,http://scgctvshow.sctv.com/SRTRADIO/live/minjiangmusic/1.m3u8
开封音乐广播,unreachable,,连接失败: timed out,,http://live.dxhmt.cn:9081/gb/10200-4.m3u8
成都文化休闲广播·radio946,unreachable,,连接失败: [WinError 10061] 由于目标计算机积极拒绝，无法连接。,,http://live.cooltv.top/tv/cdgb.php?id=433-20
扬州经济音乐广播,unreachable,,连接失败: [WinError 10061] 由于目标计算机积极拒绝，无法连接。,,http://live.cooltv.top/tv/yz.php?id=jjyy
常州音乐广播,unreachable,,连接失败: [WinError 10061] 由于目标计算机积极拒绝，无法连接。,,http://live.cooltv.top/tv/cz.php?id=fm935
苏州都市音乐广播,unreachable,,连接失败: [WinError 10061] 由于目标计算机积极拒绝，无法连接。,,http://live.cooltv.top/tv/szradio.php?id=szdsyygb
太原音乐广播,unreachable,,连接失败: [WinError 10061] 由于目标计算机积极拒绝，无法连接。,,http://live.cooltv.top/tv/cutv.php?id=tyyygb
杭州城市资讯广播,unreachable,,连接失败: [WinError 10061] 由于目标计算机积极拒绝，无法连接。,,http://live.cooltv.top/tv/hz.php?id=23
石家庄音乐广播,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,http://pluslive2.sjzntv.cn/aac_yygb/playlist.m3u8
